Depth_cm,Height_cm,Width_cm,Volume_cm3,Date,Executor_capacity_cm3,LocationID
36.3,6.9,21.1,5284.917,18/08/2022,4247527,12140
49.5,7.6,35.6,13392.72,18/08/2022,4247527,11695
51,31,44,69564,18/08/2022,4247527,11761
24.4,1,16.8,409.92,20/07/2022,4247527,11761
31.2,1.8,28.7,1611.792,20/07/2022,4247527,11761
29.7,3.3,27.2,2665.872,18/08/2022,4247527,10928
33,10.2,17.8,5991.48,18/08/2022,4247527,9753
49.5,7.6,35.6,13392.72,18/08/2022,4247527,11456
25.4,7.6,17.8,3436.112,18/08/2022,4247527,12190
38.1,5.1,22.9,4449.699,18/08/2022,4247527,11555
55.9,30.5,45.7,77916.215,18/08/2022,4247527,11555
30.2,2.8,27.7,2342.312,18/08/2022,4247527,10671
25.4,12.7,17.8,5741.924,18/08/2022,4247527,10671
38.1,15.2,16.8,9729.216,18/08/2022,4247527,10671
30,3,27.4,2466,20/08/2022,4247527,10671
33,20.3,26.7,17886.33,18/08/2022,4247527,11139
34.3,7.6,24.1,6282.388,18/08/2022,4247527,11385
39.4,7.6,31.8,9522.192,18/08/2022,4247527,11385
36.8,17.8,20.3,13297.312,18/08/2022,4247527,11385
43.2,7.6,27.9,9160.128,18/08/2022,4247527,11385
24.8,8.2,22.3,4534.928,18/08/2022,4247527,11385
29.8,5.8,17.1,2955.564,18/08/2022,4247527,11385
25.4,12.7,17.8,5741.924,18/08/2022,4247527,11385
27.9,5.1,25.4,3614.166,18/08/2022,4247527,11385
38.6,4.6,23.4,4154.904,18/08/2022,4247527,11385
33,20.3,26.7,17886.33,18/08/2022,4247527,11385
25.4,7.6,17.8,3436.112,18/08/2022,4247527,11385
23.1,2.3,15.5,823.515,18/08/2022,4247527,11385
26.6,6.4,24.1,4102.784,20/07/2022,4247527,11385
25.4,7.6,17.8,3436.112,20/07/2022,4247527,11385
34.3,11.4,26.7,10440.234,20/07/2022,4247527,11385
25.4,12.7,17.8,5741.924,20/07/2022,4247527,11385
25.4,7.6,17.8,3436.112,20/07/2022,4247527,11385
34.3,11.4,26.7,10440.234,24/08/2022,4247527,11385
29.5,3.6,26.9,2856.78,24/08/2022,4247527,11385
40.6,11,31.2,13933.92,24/08/2022,4247527,11385
34.3,11.4,26.7,10440.234,24/08/2022,4247527,11385
30.5,4.8,22.9,3352.56,24/08/2022,4247527,11385
39.4,7.6,31.8,9522.192,24/08/2022,4247527,11385
31,2,28.4,1760.8,24/08/2022,4247527,11385
30.5,2.5,28,2135,24/08/2022,4247527,11385
35.6,22.9,31.8,25924.632,24/08/2022,4247527,11385
25.4,7.6,17.8,3436.112,24/08/2022,4247527,11385
29.1,3.9,26.6,3018.834,24/08/2022,4247527,11385
35.6,22.9,31.8,25924.632,24/08/2022,4247527,11385
26.4,6.6,23.9,4164.336,18/08/2022,4247527,11313
30.7,4.8,18,2652.48,18/08/2022,4247527,12021
39.4,7.6,31.8,9522.192,18/08/2022,4247527,10558
36.8,17.8,20.3,13297.312,18/08/2022,4247527,10903
25.9,7.1,23.4,4303.026,18/08/2022,4247527,10903
37.3,5.8,22.1,4781.114,23/08/2022,4247527,10903
34.3,7.6,24.1,6282.388,22/08/2022,4247527,10903
43.2,7.6,27.9,9160.128,17/08/2022,4247527,10903
31.8,1.3,29.2,1207.128,18/08/2022,4247527,10598
29.7,5.8,17,2928.42,18/08/2022,4247527,10598
36.8,26.5,27,26330.4,18/08/2022,4247527,11057
25.4,12.7,17.8,5741.924,25/07/2022,4247527,11057
45.7,21.6,22.9,22605.048,25/08/2022,4247527,11057
33,20.3,26.7,17886.33,25/08/2022,4247527,11057
34.3,11.4,20.3,7937.706,04/08/2022,3313071,25350
40.6,12.7,30.5,15726.41,04/08/2022,3313071,25350
25.4,12.7,17.8,5741.924,04/08/2022,3313071,25350
25.4,7.6,17.8,3436.112,04/08/2022,3313071,25350
35.6,22.9,31.8,25924.632,15/08/2022,3313071,25350
34.3,11.4,26.7,10440.234,04/08/2022,3313071,25139
34.3,11.4,26.7,10440.234,29/07/2022,3313071,25139
37.3,5.8,22.1,4781.114,04/08/2022,3313071,26324
24.6,0.8,17,334.56,04/08/2022,3313071,26324
39.4,7.6,31.8,9522.192,04/08/2022,3313071,26324
55.9,12.7,45.7,32443.801,04/08/2022,3313071,26137
34.3,11.4,26.7,10440.234,04/08/2022,3313071,25307
29.7,3.3,27.2,2665.872,21/08/2022,3313071,25307
30.5,10.2,19.1,5942.01,21/08/2022,3313071,25307
22.9,2.5,15.2,870.2,04/08/2022,3313071,25312
27.9,5.1,25.4,3614.166,06/08/2022,3313071,25312
27.2,5.8,24.6,3880.896,06/08/2022,3313071,25312
34.3,11.4,26.7,10440.234,04/08/2022,3313071,25529
27.2,5.8,24.6,3880.896,04/08/2022,3313071,25529
34.3,7.6,24.1,6282.388,04/08/2022,3313071,26315
25.4,7.6,17.8,3436.112,22/08/2022,3313071,26315
34.3,7.6,24.1,6282.388,22/08/2022,3313071,26315
53.3,15.2,38.1,30867.096,22/08/2022,3313071,26315
55.9,30.5,45.7,77916.215,22/08/2022,3313071,26315
24.1,5.1,16.5,2028.015,04/08/2022,3313071,25512
36.8,17.8,20.3,13297.312,06/08/2022,3313071,25512
25.4,7.6,17.8,3436.112,06/08/2022,3313071,25512
25.4,7.6,17.8,3436.112,04/08/2022,3313071,25877
41,25.8,26,27502.8,21/08/2022,3313071,25877
26.9,6.1,24.4,4003.796,21/08/2022,3313071,25877
25.4,7.6,17.8,3436.112,21/08/2022,3313071,25877
66,17.8,40.6,47696.88,15/08/2022,3313071,25877
25.4,12.7,17.8,5741.924,04/08/2022,3313071,25682
43.2,7.6,27.9,9160.128,04/08/2022,3313071,25157
38.9,10.4,20.3,8212.568,04/08/2022,3313071,25072
25.4,12.7,17.8,5741.924,21/08/2022,3313071,25072
35.3,13.5,25.7,12247.335,21/08/2022,3313071,25072
22.2,8.3,14,2579.64,06/08/2022,3313071,25072
25.4,12.7,17.8,5741.924,04/08/2022,3313071,25095
32.5,0.5,30,487.5,04/08/2022,3313071,26617
48.3,15.2,33,24227.28,04/08/2022,3313071,26617
39.4,7.6,31.8,9522.192,04/08/2022,3313071,25831
31,2,28.5,1767,15/08/2022,3313071,25831
34.3,7.6,24.1,6282.388,22/08/2022,3313071,25831
43.2,7.6,27.9,9160.128,04/08/2022,3313071,25620
23.6,1.8,16,679.68,04/08/2022,3313071,25135
40.6,12.7,30.5,15726.41,04/08/2022,3313071,25165
38.1,25.4,25.4,24580.596,15/08/2022,3313071,25165
27.7,5.3,25.1,3684.931,04/08/2022,3313071,25989
25.4,12.7,17.8,5741.924,04/08/2022,3313071,25465
36.8,17.8,20.3,13297.312,04/08/2022,3313071,25465
17.8,6.9,13,1596.66,04/08/2022,3313071,25778
25.4,12.7,17.8,5741.924,22/08/2022,3313071,25778
23.1,2.3,15.5,823.515,04/08/2022,3313071,25154
34.3,7.6,24.1,6282.388,04/08/2022,3313071,25123
34.3,11.4,26.7,10440.234,04/08/2022,3313071,25131
33.3,9.9,18,5934.06,15/08/2022,3313071,25131
31.8,3.8,19.1,2308.044,04/08/2022,3313071,26122
25.4,7.6,17.8,3436.112,04/08/2022,3313071,26122
36.8,17.8,20.3,13297.312,04/08/2022,3313071,25997
48.3,30.5,36.8,54211.92,04/08/2022,3313071,25997
25.4,12.7,17.8,5741.924,21/08/2022,3313071,25997
39.4,7.6,31.8,9522.192,25/07/2022,3313071,25997
48.3,30.5,36.8,54211.92,25/07/2022,3313071,25997
34.3,11.4,26.7,10440.234,04/08/2022,3313071,24945
22.4,3,14.7,987.84,04/08/2022,3313071,24945
33,20.3,26.7,17886.33,06/08/2022,3313071,24945
37.2,6,21.9,4888.08,06/08/2022,3313071,24945
25.4,12.7,17.8,5741.924,04/08/2022,3313071,26748
33,20.3,26.7,17886.33,19/08/2022,3313071,26748
25.4,12.7,17.8,5741.924,19/08/2022,3313071,26748
25.4,7.6,17.8,3436.112,25/08/2022,3313071,26748
28.3,4.7,25.8,3431.658,22/08/2022,3313071,26748
25.4,12.7,17.8,5741.924,22/08/2022,3313071,26748
36.8,17.8,20.3,13297.312,22/08/2022,3313071,26748
25.4,7.6,17.8,3436.112,04/08/2022,3313071,26273
25.4,12.7,17.8,5741.924,04/08/2022,3313071,26273
33,20.3,26.7,17886.33,06/08/2022,3313071,26273
36.8,17.8,20.3,13297.312,04/08/2022,3313071,26859
24.9,8.1,22.4,4517.856,04/08/2022,3313071,26595
59.9,10.5,36.2,22767.99,22/08/2022,3313071,26595
44.5,20.3,35.6,32159.26,04/08/2022,3313071,25188
27.9,5.1,25.4,3614.166,04/08/2022,3313071,26531
33,20.3,26.7,17886.33,04/08/2022,3313071,26167
25.4,7.6,22.9,4420.616,04/08/2022,3313071,26167
27.7,1.8,17.5,872.55,04/08/2022,3313071,26167
43.2,7.6,27.9,9160.128,04/08/2022,3313071,26167
28.4,4.6,25.9,3383.576,04/08/2022,3313071,26167
34.3,7.6,24.1,6282.388,06/08/2022,3313071,26167
44.5,20.3,35.6,32159.26,04/08/2022,3313071,24985
40.1,27.2,35.8,39047.776,04/08/2022,3313071,25004
44.5,20.3,35.6,32159.26,04/08/2022,3313071,25004
27.9,5.1,25.4,3614.166,04/08/2022,3313071,25004
40.1,27.2,35.8,39047.776,04/08/2022,3313071,25004
61.6,33,41.3,83954.64,04/08/2022,3313071,25004
27.9,5.1,25.4,3614.166,04/08/2022,3313071,25752
35.6,7.6,20.3,5492.368,04/08/2022,3313071,25107
32.3,3.3,19.6,2089.164,04/08/2022,3313071,25173
34.3,11.4,20.3,7937.706,04/08/2022,3313071,25173
24.1,1.8,16.5,715.77,04/08/2022,3313071,25173
50.8,30.5,35.6,55158.64,04/08/2022,3313071,25322
19.1,9,13.8,2372.22,04/08/2022,3313071,25796
34.3,11.4,20.3,7937.706,04/08/2022,3313071,25796
25.4,12.7,17.8,5741.924,04/08/2022,3313071,25796
33,20.3,26.7,17886.33,22/08/2022,3313071,25796
54,12.4,41.3,27654.48,22/08/2022,3313071,25796
27.3,5.7,24.8,3859.128,04/08/2022,3313071,25669
39.4,7.6,31.8,9522.192,21/08/2022,3313071,25669
38.7,20.8,27.9,22458.384,21/08/2022,3313071,25669
34.3,11.4,26.7,10440.234,21/08/2022,3313071,25669
25.9,7.1,23.4,4303.026,25/07/2022,3313071,25669
55.9,30.5,45.7,77916.215,25/07/2022,3313071,25669
48.3,15.2,33,24227.28,04/08/2022,3313071,24937
25.4,7.6,17.8,3436.112,04/08/2022,3313071,24937
43.2,7.6,27.9,9160.128,04/08/2022,3313071,26582
40.6,12.7,30.5,15726.41,04/08/2022,3313071,25162
33,20.3,26.7,17886.33,04/08/2022,3313071,25162
27.7,5.3,25.1,3684.931,29/07/2022,3313071,25162
45.7,21.6,22.9,22605.048,29/07/2022,3313071,25162
49.2,33.2,42.3,69094.512,04/08/2022,3313071,26240
34.3,11.4,26.7,10440.234,04/08/2022,3313071,25456
36.8,17.8,20.3,13297.312,15/08/2022,3313071,25456
48.3,27.9,31.8,42852.726,04/08/2022,3313071,25239
54,12.4,41.3,27654.48,15/08/2022,3313071,25239
36.8,17.8,20.3,13297.312,04/08/2022,3313071,26643
34.3,11.4,26.7,10440.234,04/08/2022,3313071,26800
25.4,7.6,17.8,3436.112,04/08/2022,3313071,26800
39.1,4.1,23.9,3831.409,04/08/2022,3313071,26800
29,6.6,16.3,3119.82,04/08/2022,3313071,26800
34.3,11.4,26.7,10440.234,04/08/2022,3313071,25594
34.3,11.4,26.7,10440.234,04/08/2022,3313071,25816
29.2,3.8,26.7,2962.632,04/08/2022,3313071,25816
40.4,2.8,25.1,2839.312,25/07/2022,3313071,25816
30.3,2.7,27.8,2274.318,25/07/2022,3313071,25816
25,8,22.5,4500,06/08/2022,3313071,25816
39.4,7.6,31.8,9522.192,06/08/2022,3313071,25816
29.6,3.4,27.1,2727.344,04/08/2022,3313071,26737
48.3,15.2,33,24227.28,04/08/2022,3313071,26737
